Company ID,Name,Address,Industry,Employees,Working Hours,Dress Code,Description,Website,City,Image Link
1,PT Indofood Sukses,Jl. Jendral Sudirman 30,Food & Beverage,5000,08:00 - 17:00,Casual,Leading food company with a diverse portfolio of food brands.,www.indofood.com,Jakarta,https://www.logo.wine/a/logo/Indofood/Indofood-Logo.wine.svg
2,Kimia Farma Tbk,Jl. Veteran No. 9,Pharmaceutical,7000,09:00 - 18:00,Formal,Indonesia's first and largest pharmaceutical company.,www.kimiafarma.co.id,Jakarta,https://upload.wikimedia.org/wikipedia/id/thumb/c/c3/Kimia_Farma_logo.svg/1200px-Kimia_Farma_logo.svg.png
3,PT Astra Internasional,Jl. Gaya Motor Raya No. 8,Automotive,30000,08:30 - 17:30,Formal,A leading diversified automotive distributor in Indonesia.,www.astra.co.id,Jakarta,https://www.logo.wine/a/logo/Astra_International/Astra_International-Logo.wine.svg
4,Unilever Indonesia,Jl. BSD Boulevard Utara,Consumer Goods,6200,09:00 - 18:00,Casual,Provides a wide range of personal care and home products.,www.unilever.co.id,Tangerang,https://cdn.pixabay.com/photo/2021/10/26/12/17/unilever-6743502_640.png
5,BCA,Jl. MH Thamrin No. 1,Finance,21000,08:00 - 16:30,Formal,The largest private bank in Indonesia.,www.bca.co.id,Jakarta,https://www.bca.co.id/-/media/Feature/Card/List-Card/Tentang-BCA/Brand-Assets/Logo-BCA/Logo-BCA_Biru.png
6,Bukalapak,Jl. H. R. Rasuna Said No. 11,E-commerce,3500,09:00 - 17:00,Casual,A leading e-commerce platform in Indonesia.,www.bukalapak.com,Jakarta,https://planetsains.com/wp-content/uploads/2022/09/new-bukalapak-logo-vector-01-1.png
7,PT Pertamina,Jl. Medan Merdeka No. 6,Energy,17000,07:30 - 16:00,Formal,A state-owned oil and gas company with extensive operations.,www.pertamina.com,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pertamina_Logo.svg/1280px-Pertamina_Logo.svg.png
8,Garuda Indonesia,Jl. Kebon Sirih No. 5,Aviation,8500,08:00 - 17:00,Formal,"Indonesia's national airline, serving domestic and international flights.",www.garuda-indonesia.com,Jakarta,https://logos-world.net/wp-content/uploads/2023/01/Garuda-Indonesia-Logo.png
9,Gojek,Jl. Kemang Selatan No. 99,Technology,12000,10:00 - 18:00,Casual,A leading multi-service app in Indonesia for ride-hailing and more.,www.gojek.com,Jakarta,https://seeklogo.com/images/B/baru-gojek-logo-CEAE385828-seeklogo.com.png
10,Telkom Indonesia,Jl. Gatot Subroto No. 7,Telecommunications,21000,09:00 - 17:30,Formal,Indonesia's largest telecommunications company.,www.telkom.co.id,Jakarta,https://www.telkom.co.id/data/image_upload/page/1594108255409_compress_logo%20telkom%20indonesia.png
